vtd00_key,district_num,district_code,area_weight,block_count,total_blocks,countyfp,vtdst00,weight_method
AITKIN - 0005,10A,10A,1.0000000000,87,87,001,0005,2020_block_count_centroids
AITKIN - 0010,07A,07A,0.0119047619,1,84,001,0010,2020_block_count_centroids
AITKIN - 0010,10A,10A,0.9880952381,83,84,001,0010,2020_block_count_centroids
AITKIN - 0015,07A,07A,1.0000000000,50,50,001,0015,2020_block_count_centroids
AITKIN - 0020,07A,07A,1.0000000000,14,14,001,0020,2020_block_count_centroids
AITKIN - 0025,10A,10A,1.0000000000,10,10,001,0025,2020_block_count_centroids
AITKIN - 0030,07A,07A,1.0000000000,29,29,001,0030,2020_block_count_centroids
AITKIN - 0035,07A,07A,1.0000000000,15,15,001,0035,2020_block_count_centroids
AITKIN - 0036,10A,10A,1.0000000000,23,23,001,0036,2020_block_count_centroids
AITKIN - 0040,06A,06A,0.0136986301,1,73,001,0040,2020_block_count_centroids
AITKIN - 0040,10A,10A,0.9863013699,72,73,001,0040,2020_block_count_centroids
AITKIN - 0045,07A,07A,1.0000000000,47,47,001,0045,2020_block_count_centroids
AITKIN - 0050,10A,10A,1.0000000000,32,32,001,0050,2020_block_count_centroids
AITKIN - 0055,07A,07A,1.0000000000,29,29,001,0055,2020_block_count_centroids
AITKIN - 0060,10A,10A,1.0000000000,47,47,001,0060,2020_block_count_centroids
AITKIN - 0065,07A,07A,1.0000000000,58,58,001,0065,2020_block_count_centroids
AITKIN - 0070,07A,07A,1.0000000000,44,44,001,0070,2020_block_count_centroids
AITKIN - 0075,10A,10A,1.0000000000,15,15,001,0075,2020_block_count_centroids
AITKIN - 0080,07A,07A,1.0000000000,32,32,001,0080,2020_block_count_centroids
AITKIN - 0081,10A,10A,1.0000000000,4,4,001,0081,2020_block_count_centroids
AITKIN - 0085,10A,10A,1.0000000000,38,38,001,0085,2020_block_count_centroids
AITKIN - 0090,10A,10A,1.0000000000,50,50,001,0090,2020_block_count_centroids
AITKIN - 0095,10A,10A,1.0000000000,7,7,001,0095,2020_block_count_centroids
AITKIN - 0100,07A,07A,1.0000000000,18,18,001,0100,2020_block_count_centroids
AITKIN - 0105,07A,07A,1.0000000000,17,17,001,0105,2020_block_count_centroids
AITKIN - 0110,07A,07A,1.0000000000,42,42,001,0110,2020_block_count_centroids
AITKIN - 0115,10A,10A,1.0000000000,12,12,001,0115,2020_block_count_centroids
AITKIN - 0120,07A,07A,1.0000000000,24,24,001,0120,2020_block_count_centroids
AITKIN - 0125,07A,07A,1.0000000000,35,35,001,0125,2020_block_count_centroids
AITKIN - 0130,07A,07A,1.0000000000,33,33,001,0130,2020_block_count_centroids
AITKIN - 0132,10A,10A,1.0000000000,7,7,001,0132,2020_block_count_centroids
AITKIN - 0135,10A,10A,1.0000000000,27,27,001,0135,2020_block_count_centroids
AITKIN - 0140,07A,07A,1.0000000000,46,46,001,0140,2020_block_count_centroids
AITKIN - 0145,10A,10A,1.0000000000,58,58,001,0145,2020_block_count_centroids
AITKIN - 0146,07A,07A,1.0000000000,18,18,001,0146,2020_block_count_centroids
AITKIN - 0147,07A,07A,1.0000000000,114,114,001,0147,2020_block_count_centroids
AITKIN - 0150,07A,07A,1.0000000000,17,17,001,0150,2020_block_count_centroids
AITKIN - 0155,10A,10A,1.0000000000,15,15,001,0155,2020_block_count_centroids
AITKIN - 0160,10A,10A,1.0000000000,18,18,001,0160,2020_block_count_centroids
AITKIN - 0165,10A,10A,1.0000000000,24,24,001,0165,2020_block_count_centroids
AITKIN - 0170,10A,10A,1.0000000000,7,7,001,0170,2020_block_count_centroids
AITKIN - 0175,07A,07A,1.0000000000,104,104,001,0175,2020_block_count_centroids
AITKIN - 0176,10A,10A,1.0000000000,5,5,001,0176,2020_block_count_centroids
AITKIN - 0180,10A,10A,1.0000000000,34,34,001,0180,2020_block_count_centroids
AITKIN - 0185,10A,10A,1.0000000000,54,54,001,0185,2020_block_count_centroids
AITKIN - 0190,07A,07A,1.0000000000,14,14,001,0190,2020_block_count_centroids
AITKIN - 0195,07A,07A,1.0000000000,33,33,001,0195,2020_block_count_centroids
AITKIN - 0200,07A,07A,1.0000000000,25,25,001,0200,2020_block_count_centroids
AITKIN - 0205,10A,10A,1.0000000000,27,27,001,0205,2020_block_count_centroids
AITKIN - 0210,07A,07A,1.0000000000,31,31,001,0210,2020_block_count_centroids
AITKIN - 0215,10A,10A,1.0000000000,21,21,001,0215,2020_block_count_centroids
AITKIN - 0220,10A,10A,1.0000000000,13,13,001,0220,2020_block_count_centroids
